,category,frequency,avg_rating,avg_price,avg_num_reviews,cluster_assignment,TSNE_X_coord,TSNE_Y_coord
192,Cutting Tools,27,4.425925925925926,24.944814814814816,74.44444444444444,1,-0.6124805,3.087764
193,Brake System,27,4.485185185185185,62.16777777777778,53.77777777777778,10,-5.1887045,4.916201
194,Socks,27,4.522222222222222,15.954074074074072,517.5555555555555,5,1.332727,4.8403616
195,Abrasive & Finishing Products,27,4.344444444444444,20.69537037037037,46.629629629629626,1,-0.49958703,-3.6335673
196,Recording Equipment,26,4.35,114.14288461538462,158.80769230769232,19,-6.76546,5.121382
197,Light & Lighting Accessories,26,4.188461538461539,22.17538461538461,276.4230769230769,19,-2.7117307,-2.4717104
198,Home Audio & Theater,26,4.273076923076923,155.41884615384618,1978.8076923076924,3,4.245032,2.2611666
199,Cutlery & Knife Accessories,26,4.423076923076923,52.81153846153846,785.1538461538462,12,11.196678,-3.44668
200,Gun Accessories,26,4.6038461538461535,43.6725,856.3846153846154,12,-1.6309227,10.758214
201,Beverages,26,4.507692307692308,28.96980769230769,950.9615384615385,19,2.7741919,-4.592035
202,Maintenance & Storage,26,4.6038461538461535,43.6725,856.3846153846154,13,-1.246824,1.1398671
203,Supplements,26,4.492307692307692,34.65038461538462,728.6153846153846,11,7.7307878,-2.5515907
204,Gaskets,26,4.330769230769231,16.746538461538464,57.69230769230769,14,6.6715145,1.0112201
205,Towing Products & Winches,26,4.415384615384616,77.24288461538461,144.84615384615384,10,-3.3003776,4.6341457
206,Sealants & Lubricants,25,4.5680000000000005,50.416,260.36,11,0.3849064,-3.5276103
207,Industrial Hardware,25,4.448,23.3488,200.44,7,-0.23088235,8.906864
208,Education & Crafts,25,4.367999999999999,36.7504,633.76,1,-0.619876,3.4055316
209,Wind & Woodwind Accessories,25,4.024,31.8006,39.92,17,-3.715985,8.570575
210,Drum & Percussion Accessories,25,4.712,42.1452,172.84,17,-4.166993,8.323503
211,Candles & Holders,25,4.476,21.2682,763.0,14,3.8053908,-1.0330714
212,Gloves,24,4.408333333333334,26.41166666666666,364.2916666666667,5,-0.7728421,5.3067017
213,Glassware & Labware,24,4.4125000000000005,49.87041666666667,241.16666666666663,11,5.1366243,1.5560807
214,Cookware,24,4.541666666666667,43.51583333333334,1080.4583333333333,4,5.575986,-6.3975263
215,Occupational Health & Safety Products,24,4.3375,54.05125,387.6666666666667,11,-1.1806417,7.655245
216,Transmission & Drive Train,24,4.308333333333334,56.48833333333332,55.875,2,-5.533135,5.465979
217,Appliances,24,4.154166666666667,36.51770833333333,119.70833333333331,14,6.545736,-5.408177
218,Shoe,24,4.5875,20.012083333333333,272.75,5,0.0797041,5.3564844
219,Jewelry & Watch Accessories,24,4.5875,20.012083333333333,272.75,19,0.48950192,7.9900694
220,Body,24,4.520833333333333,30.093125,2325.25,9,-2.2829938,3.163913
221,Pools,23,4.2,71.38847826086956,626.6521739130435,16,2.1225355,-7.8908935
222,Sewing Notions & Supplies,23,4.317391304347826,13.978695652173917,345.17391304347825,1,2.3467848,3.8618207
223,Hot Tubs & Supplies,23,4.2,71.38847826086956,626.6521739130435,15,4.38354,-4.04116
224,Horses,23,4.443478260869566,39.9608695652174,99.34782608695652,6,-1.9225161,6.602581
225,Office Furniture & Accessories,23,4.360869565217391,143.03391304347824,378.6521739130435,3,3.0549586,2.8838542
226,RV Parts & Accessories,23,4.534782608695652,50.377173913043485,1327.4782608695652,2,-6.3156714,3.0603187
227,Coffee,23,4.504347826086956,82.1408695652174,1059.8260869565215,18,9.507073,-3.7563226
228,Belts,23,4.547826086956522,27.829130434782616,122.17391304347828,9,-2.2104897,3.2385917
229,Meat & Seafood,23,4.208695652173914,68.79173913043478,242.30434782608697,4,9.058951,-7.8333063
230,Mobility Aids & Equipment,23,4.369565217391305,48.62717391304348,561.7826086956521,19,-3.2513385,3.4330626
231,Tennis & Racquet Sports,23,4.0434782608695645,48.83521739130435,180.1304347826087,0,-7.5073924,-2.1592486
232,Vacuums & Floor Care,22,4.504545454545455,65.73545454545454,743.7727272727273,3,4.9121466,-0.5211178
233,Dimensional Measurement,22,4.55,87.60227272727275,52.18181818181818,19,-5.0936146,0.83922917
234,Desk Accessories & Workspace Organizers,22,4.422727272727273,37.67795454545455,2444.954545454545,13,2.869193,2.899616
235,Cheese & Eggs,22,4.286363636363635,32.12590909090909,373.3636363636364,4,7.587259,-8.42641
236,Intimates,22,4.054545454545455,14.854545454545455,754.1363636363636,19,-0.5867403,1.5850096
237,Dairy,22,4.286363636363635,32.12590909090909,373.3636363636364,18,8.276349,-6.2841334
238,Beading & Jewelry Making,22,4.363636363636363,33.1884090909091,343.3636363636364,1,0.5112391,7.9803076
239,Writing & Correction Supplies,22,4.5590909090909095,15.490909090909094,1371.9545454545455,1,-3.633175,-2.2761328
240,Climbing,21,4.195238095238095,46.47380952380953,377.3809523809524,19,-2.426371,5.5905404
241,Baby Care,21,4.576190476190477,20.473333333333336,1071.904761904762,11,3.172317,-0.42167437
242,Saw Blades,21,4.538095238095237,47.30214285714286,317.95238095238096,12,1.3843441,3.086645
243,Luggage & Travel Gear,21,4.438095238095237,34.44571428571428,1276.6666666666667,13,-1.7649236,1.0383067
244,Athletic,21,4.419047619047619,75.14285714285714,553.8095238095239,19,-1.6363891,6.610046
245,Paper,21,4.414285714285715,36.19380952380952,370.9047619047619,9,-2.063162,-1.6341074
246,Equestrian Sports,21,4.409523809523809,49.65309523809523,33.23809523809524,6,-1.8795372,6.6088247
247,Other Team Sports,21,4.285714285714287,61.06928571428571,107.85714285714286,17,-7.0413523,-1.6526132
248,Bearings & Seals,20,4.484999999999999,31.793,19.25,10,0.32415807,-3.5033
249,Lighting & Studio,20,4.494999999999999,83.0695,345.95,19,-2.5478666,-2.5990212
250,Candy & Chocolate,20,4.4350000000000005,60.571000000000005,859.4,18,8.817959,-6.3234587
251,Household Cleaning,20,4.325,17.334750000000003,573.55,3,4.8562236,-0.26109153
252,Metals & Alloys,20,4.765,45.438,23.05,7,1.5486475,8.431531
253,Feeding,20,4.595,24.921,1372.5,4,3.6769886,-5.401905
254,More Systems,20,4.38,66.8375,1130.75,19,-3.157449,0.38426736
255,Sets,20,4.345,39.6605,674.45,9,-0.49259245,-0.77248394
256,Fish & Aquatic Pets,19,4.194736842105263,16.23684210526316,257.63157894736844,16,2.1407125,-8.830662
257,Cables & Interconnects,19,4.705263157894738,19.225789473684213,6082.8421052631575,7,-4.654107,3.6244042
258,Sauces,19,4.315789473684212,36.78,299.89473684210526,4,6.1274524,-7.482433
259,Gravies & Marinades,19,4.315789473684212,36.78,299.89473684210526,14,1.2913382,-2.7398171
260,Portable Audio & Video,19,4.178947368421053,32.30105263157895,1253.157894736842,0,-8.583265,5.8006363
261,Mens,19,4.331578947368421,18.78078947368421,960.9473684210526,9,-1.5706406,-1.4480989
262,Mowers & Outdoor Power Tools,19,4.4105263157894745,38.20789473684211,660.9473684210526,6,0.98027164,-7.3090954
263,Microphones,19,4.321052631578947,35.80500000000001,505.5263157894737,19,-6.565958,5.229601
264,Trim,19,4.368421052631578,45.63631578947368,196.73684210526315,9,-0.85137206,-2.4830005
265,Sexual Wellness,19,4.131578947368421,22.11894736842105,165.6315789473684,15,8.063565,-1.1451811
266,Welding & Soldering,18,4.444444444444445,38.52861111111111,127.94444444444444,7,1.0807188,8.711788
267,Oral Care,18,4.377777777777777,27.88527777777778,1060.0555555555557,11,6.205187,-1.7168868
268,Pulling & Lifting,18,4.611111111111111,87.8875,113.11111111111111,10,-3.105702,4.63767
269,Baby Bedding,18,4.411111111111112,26.18527777777778,773.8333333333334,3,5.1304455,3.8016016
270,Power Plant & Driveline Systems,18,4.388888888888889,18.436111111111117,53.0,7,-6.741286,4.7925005
271,Industrial Power Tools,18,4.444444444444445,38.52861111111111,127.94444444444444,7,-0.2522726,8.897422
272,Dried Fruits & Vegetables,18,4.45,30.17694444444444,92.0,8,3.6614594,-8.7620125
273,Computer Components,18,4.405555555555555,118.49055555555556,2427.0,0,-9.9318695,3.477149
274,Lab Supplies & Consumables,18,4.344444444444445,22.959444444444443,77.66666666666667,11,5.3134165,1.5256923
275,Football,18,4.4833333333333325,53.45166666666667,344.77777777777777,12,-7.3642254,-1.2853538
276,Jackets & Coats,18,4.522222222222222,69.93666666666667,302.94444444444446,5,0.9900687,5.063299
277,Health Supplies,18,4.377777777777778,44.47444444444445,1039.2222222222222,11,5.7892427,-1.2128934
278,Scrapbooking,18,4.511111111111111,17.01861111111111,473.72222222222223,13,-1.2532727,0.49000487
279,Body & Frame Parts,18,4.2444444444444445,104.31777777777776,20.88888888888889,19,-2.9685438,2.7527893
280,Tobacco-Related Products,18,4.322222222222222,17.05777777777778,415.27777777777777,14,4.6437345,-0.05755357
281,Swim,17,4.4,21.687941176470588,404.4705882352941,16,1.9966558,-8.311543
