,category,frequency,avg_rating,avg_price,avg_num_reviews
55,Exterior Accessories,88,4.345454545454545,106.89022727272727,215.47727272727272
56,Lab & Scientific Products,87,4.390804597701149,56.43729885057471,100.4367816091954
57,Hobbies,83,4.40722891566265,30.671385542168668,110.33734939759036
58,Kitchen Utensils & Gadgets,83,4.355421686746987,19.71620481927711,939.3493975903615
59,Novelty & More,83,4.290361445783132,19.268012048192773,368.6144578313253
60,Other Sports,83,4.3349397590361445,44.11295180722891,212.83132530120483
61,Leisure Sports & Game Room,81,4.31358024691358,51.254259259259264,310.58024691358025
62,Hand Tools,80,4.47375,28.728437500000002,229.475
63,Dining & Entertaining,80,4.51375,27.7950625,417.5875
64,Tools & Equipment,79,4.39620253164557,60.70196202531643,315.32911392405066
65,Craft Supplies,78,4.412820512820513,17.88820512820513,349.3076923076923
66,Measure & Inspect,77,4.379220779220779,83.30331168831171,141.0
67,Test,77,4.379220779220779,83.30331168831171,141.0
68,Tools & Accessories,76,4.351315789473683,21.875723684210524,1445.657894736842
69,Gardening,75,4.342666666666665,60.85880000000001,780.92
70,Camping & Hiking,75,4.397333333333334,44.492000000000004,939.8133333333334
71,Electrical,75,4.492,41.52146666666666,436.72
72,Building Supplies,74,4.3689189189189195,67.3585135135135,388.2162162162162
73,Petite,73,4.06986301369863,26.43609589041096,462.1917808219178
74,Exercise & Fitness,71,4.315492957746478,54.08056338028168,740.7042253521126
75,Novelty,71,4.336619718309858,20.019154929577464,239.91549295774647
76,Cooking & Baking,70,4.524285714285714,30.772714285714283,417.22857142857146
77,Engines & Engine Parts,70,4.551428571428571,55.29121428571427,31.928571428571427
78,Mobility & Daily Living Aids,69,4.271014492753624,42.62572463768115,459.4347826086956
79,Jewelry,69,4.350724637681159,16.07340579710145,639.8840579710145
80,Professional Medical Supplies,68,4.333823529411766,36.151323529411755,1046.8088235294117
81,Water Sports,68,4.370588235294118,110.34507352941176,504.5735294117647
82,Storage & Organization,67,4.477611940298507,23.879477611940302,1276.597014925373
83,Hardware,63,4.493650793650794,48.02698412698413,445.12698412698415
84,Contemporary & Designer,62,4.346774193548387,111.0833064516129,70.38709677419355
85,Sewing,61,4.468852459016394,20.796311475409837,484.40983606557376
86,Fishing,58,4.413793103448276,24.992931034482755,291.67241379310343
87,Cats,58,4.353448275862069,32.08810344827586,790.5689655172414
88,Industrial Electrical,57,4.4754385964912275,35.12280701754386,356.8421052631579
89,Building Materials,56,4.326785714285714,59.90776785714286,175.73214285714286
