,cluster_center,frequency,avg_rating,avg_price,avg_num_reviews,cluster_assignment
0,Mattresses,3.2,4.417463734294379,70.29290123142208,1818.4915435219293,0.0
1,Accessories,8.996527777777779,4.383742211673032,55.43457828537441,475.87889082480774,1.0
2,Swim Caps,3.7085714285714286,4.377038254445499,57.07997142718837,447.14579284630423,2.0
3,Heater Parts,2.948314606741573,4.379536355080044,54.41691543540439,409.1307272289015,3.0
4,Crossbody & Lanyard Cases,4.475336322869955,4.4183946614849985,70.41651680742785,317.46603251830794,4.0
5,Presser Feet,10.205020920502092,4.356908672011753,52.358303286658,580.2505160685715,5.0
6,Computer Accessories & Peripherals,5.54983922829582,4.2848244545144025,81.89582957879534,1941.691578184273,6.0
7,Clutches & Parts,7.515769944341373,4.445104485499445,62.380411134241854,187.44304012530827,7.0
8,Faucet Parts,3.669250645994832,4.401143698761816,35.49704601319455,697.5302288563907,8.0
9,Coverlets & Sets,5.360824742268041,4.358947106702287,35.93372421080786,441.5936561117098,9.0
10,Ball Ornaments,4.4280936454849495,4.362691742516599,51.95709827447507,334.65463575446944,10.0
11,Cases & Bags,3.5283582089552237,4.468961503184055,43.6312323268072,587.6608920468207,11.0
12,Totes,6.034277198211624,4.389352276257233,46.53482046069857,382.94857173139644,12.0
13,Measuring & Layout Tools,4.7756410256410255,4.433358684919775,39.3296216154776,458.9105849016777,13.0
14,Hasps,2.16015625,4.373682760626574,48.54850912761984,426.9723238003926,14.0
15,Cabinet Accessories,14.588,4.3491121119233105,84.93521502188676,639.4515592828426,15.0
16,Plants,18.692307692307693,4.364927942533548,57.023793558119515,537.3589547112284,16.0
17,Soft-Sided Carriers,2.6176470588235294,4.369800637324498,53.69968659913703,761.7573722181594,17.0
18,Flavor Syrups,2.2,4.384080030986037,38.52028970053639,606.5205307280197,18.0
19,Food Pans,7.503311258278146,4.358486928847101,41.26597724241522,441.7769649626065,19.0
