,cluster_center,frequency,avg_rating,avg_price,avg_num_reviews,cluster_assignment
0,Computer Accessories & Peripherals,5.919678714859438,4.272080292963606,79.4190048289954,2208.2202951583413,0.0
1,Measuring & Layout Tools,4.2710027100271,4.439472009417704,32.88701100614304,444.4221251308499,1.0
2,Throttle Body Spacers & Adapters,7.7908745247148286,4.418076947469217,75.60028809062023,265.9774483115392,2.0
3,Beds & Furniture,10.9,4.350197987005679,80.55395241466894,1129.0819595591151,3.0
4,Food Pans,7.8122977346278315,4.349243436719479,41.8792730732936,439.54638897536853,4.0
5,Coverlets & Sets,5.819548872180451,4.3392858082056325,38.8002895253168,463.872721622057,5.0
6,Planters,14.986784140969164,4.387147668792095,60.51594235225252,557.348123079858,6.0
7,Electrical & Batteries,8.33457249070632,4.373858955456091,67.21002373510035,786.0807581660484,7.0
8,Disposables,2.5,4.379517377306839,49.122707362911136,484.69667237027727,8.0
9,Totes,5.095513748191028,4.389994090172191,48.325823877932784,377.7525147120861,9.0
10,Component Subwoofers,3.205769230769231,4.434960122035958,49.81639223419003,195.86151938711234,10.0
11,Treatment Packages,15.509615384615385,4.372590568027864,43.271444436239115,1015.3712807683906,11.0
12,Crossbody & Lanyard Cases,4.604166666666667,4.449526434610523,60.330925874467084,422.80799438496007,12.0
13,Cases & Bags,3.5816618911174785,4.464302626228284,45.56053697155727,589.3699254337466,13.0
14,Filter & Gasket Kits,2.6013667425968108,4.383397676625095,53.84321656081538,335.7755718069612,14.0
15,Faucet Parts,2.6728971962616823,4.398896312451135,38.75860551927958,696.2147822762162,15.0
16,Swim Caps,3.7650602409638556,4.3857383838611135,54.91123493830099,446.41437155378196,16.0
17,Ball Ornaments,3.949044585987261,4.362969126063737,54.43369550820874,340.8744426911865,17.0
18,Souffle Cups,1.8414239482200647,4.361692132831136,39.22616504311359,483.06893657034504,18.0
19,Accessories,11.237354085603112,4.392477362856023,56.1969917946853,461.9953978946582,19.0
